record_id,date,location,work_type,hazard_id,hazard_label,hazard_category,exposure_level,ppe_required,ppe_labels,environmental_doc_type,environmental_doc_id,temperature_f,noise_db,airborne_particles_ppm,supervisor,shift,incident_flag
REC-1000,2025-10-18,Engine Shop,Welding Task,haz_lifting_twisting_pulling,Lifting/ Twisting/ Pulling,Ergonomics & Human Factors,Low,ppe_heat_cold_resistant_gloves,Heat/Cold Resistant Gloves,Hot Work Permit,DOC-2758,99,66,8.9,TSgt Rivera,Day,0
REC-1001,2025-05-09,Engine Shop,Chemical Cleaning,haz_improper_damaged_tool,Improper/ Damaged Tool,Mechanical & Equipment,Moderate,ppe_passive_guard_rails_restraint; ppe_safety_glasses,"Passive (Guard Rails, Restraint); Safety Glasses",Noise Survey,DOC-2603,65,55,11.41,MSgt Coleman,Night,1
REC-1002,2025-12-30,Hangar B,Chemical Cleaning,haz_heat_cold_environment,Heat/ Cold Environment,Physical Environment,Low,ppe_earmuffs; ppe_cut_resistant_gloves; ppe_hard_hat,Earmuffs; Cut Resistant Gloves; Hard Hat,Air Quality Log,DOC-2867,74,88,12.13,Lt Brooks,Night,0
REC-1003,2025-09-23,Paint Booth,Fuel System Repair,haz_housekeeping,Housekeeping,Physical Environment,Low,ppe_active_harness_and_lanyard,Active (Harness and Lanyard),JSA,DOC-2677,59,92,14.78,MSgt Coleman,Day,1
REC-1004,2025-11-05,Fuel Cell Shop,Engine Removal,haz_reaction_pressure_vacuum,Reaction/ Pressure/ Vacuum,Mechanical & Equipment,Moderate,ppe_bump_cap; ppe_double_hearing_protection; ppe_rescue_plan_required_for_active_restraints; ppe_passive_guard_rails_restraint,"Bump Cap; Double Hearing Protection; Rescue Plan (required for active restraints); Passive (Guard Rails, Restraint)",Confined Space Permit,DOC-2746,61,75,6.99,Capt Howard,Night,0
REC-1005,2026-02-04,Paint Booth,Chemical Cleaning,haz_head_knocker,Head Knocker,Physical Environment,High,ppe_chemical_resistant_gloves,Chemical Resistant Gloves,JSA,DOC-2216,102,95,3.27,Lt Brooks,Swing,1
REC-1006,2025-04-27,Maintenance Bay 1,Chemical Cleaning,haz_reaching_awkward_position,Reaching/ Awkward Position,Ergonomics & Human Factors,High,ppe_earmuffs; ppe_chemical_resistant_gloves; ppe_heat_cold_resistant_gloves,Earmuffs; Chemical Resistant Gloves; Heat/Cold Resistant Gloves,HAZMAT Report,DOC-2141,95,118,1.45,TSgt Rivera,Day,0
REC-1007,2025-05-26,Fuel Cell Shop,Routine Inspection,haz_electrical_mechanical_energy,Electrical/ Mechanical Energy,Mechanical & Equipment,Low,ppe_goggles; ppe_respirator; ppe_active_harness_and_lanyard; ppe_supplied_air,Goggles; Respirator; Active (Harness and Lanyard); Supplied Air,Hot Work Permit,DOC-2906,98,89,11.55,Capt Howard,Day,0
REC-1008,2025-10-09,Flight Line,Engine Removal,haz_path_of_travel,Path of Travel,Physical Environment,High,ppe_supplied_air; ppe_safety_glasses,Supplied Air; Safety Glasses,Hot Work Permit,DOC-2519,107,80,2.38,MSgt Coleman,Night,0
REC-1009,2025-10-21,Hangar A,Fuel System Repair,haz_head_knocker,Head Knocker,Physical Environment,Low,ppe_safety_glasses; ppe_ear_plugs; ppe_bump_cap; ppe_steel_toe_shoes,Safety Glasses; Ear Plugs; Bump Cap; Steel Toe Shoes,JSA,DOC-2749,92,63,14.67,Civ Patel,Day,0
REC-1010,2025-04-16,Maintenance Bay 1,Fuel System Repair,haz_climbing_crawling_bending,Climbing/ Crawling/ Bending,"Slips, Trips, Falls & Work at Height",Moderate,ppe_heat_cold_resistant_gloves; ppe_passive_guard_rails_restraint,"Heat/Cold Resistant Gloves; Passive (Guard Rails, Restraint)",Hot Work Permit,DOC-2319,81,102,6.63,Civ Patel,Swing,0
REC-1011,2026-02-10,Engine Shop,Fuel System Repair,haz_machine_guards,Machine Guards,Mechanical & Equipment,Low,ppe_goggles; ppe_hard_hat,Goggles; Hard Hat,JSA,DOC-2724,110,62,3.51,TSgt Rivera,Swing,0
REC-1012,2025-11-03,Flight Line,Ground Ops,haz_slips_trips_falls,Slips/ Trips/ Falls,"Slips, Trips, Falls & Work at Height",Moderate,ppe_heat_cold_resistant_gloves; ppe_fr_clothing,Heat/Cold Resistant Gloves; FR Clothing,Noise Survey,DOC-2826,82,79,1.51,Lt Brooks,Swing,1
REC-1013,2025-08-31,Hangar B,Fuel System Repair,haz_overhead_work_falling_objects,Overhead Work/ Falling Objects,Physical Environment,Moderate,ppe_face_shield; ppe_ear_plugs; ppe_rescue_plan_required_for_active_restraints; ppe_respirator,Face Shield; Ear Plugs; Rescue Plan (required for active restraints); Respirator,HAZMAT Report,DOC-2549,87,72,6.39,Capt Howard,Swing,0
REC-1014,2026-01-04,Engine Shop,Welding Task,haz_ventilation_fumes_mist_dust,Ventilation/ Fumes/ Mist/ Dust,Chemical & Airborne,Severe,ppe_active_harness_and_lanyard; ppe_ear_plugs; ppe_face_shield; ppe_safety_glasses,Active (Harness and Lanyard); Ear Plugs; Face Shield; Safety Glasses,Noise Survey,DOC-2492,57,106,13.55,MSgt Coleman,Swing,0
REC-1015,2025-03-01,Maintenance Bay 2,Welding Task,haz_housekeeping,Housekeeping,Physical Environment,Moderate,ppe_supplied_air; ppe_steel_toe_shoes; ppe_papr,Supplied Air; Steel Toe Shoes; PAPR,Air Quality Log,DOC-2222,37,62,11.24,TSgt Rivera,Day,1
REC-1016,2026-01-10,Flight Line,Engine Removal,haz_slips_trips_falls,Slips/ Trips/ Falls,"Slips, Trips, Falls & Work at Height",Low,ppe_face_shield; ppe_passive_guard_rails_restraint,"Face Shield; Passive (Guard Rails, Restraint)",Hot Work Permit,DOC-2882,60,106,1.89,Civ Patel,Day,0
REC-1017,2025-11-08,Paint Booth,Fuel System Repair,haz_excessive_force_exertion_level,Excessive Force/ Exertion Level,Ergonomics & Human Factors,High,ppe_rescue_plan_required_for_active_restraints; ppe_passive_guard_rails_restraint; ppe_hard_hat; ppe_heat_cold_resistant_gloves,"Rescue Plan (required for active restraints); Passive (Guard Rails, Restraint); Hard Hat; Heat/Cold Resistant Gloves",Noise Survey,DOC-2134,68,113,4.81,TSgt Rivera,Day,1
REC-1018,2025-11-03,Fuel Cell Shop,Welding Task,haz_eyes_on_hands_work,Eyes on Hands/ Work,Ergonomics & Human Factors,High,ppe_active_harness_and_lanyard,Active (Harness and Lanyard),JSA,DOC-2900,61,102,4.35,Lt Brooks,Night,0
REC-1019,2025-12-23,Hangar B,Welding Task,haz_insect_snake_animal,Insect/ Snake/ Animal,Biological,High,ppe_ear_plugs; ppe_earmuffs; ppe_heat_cold_resistant_gloves,Ear Plugs; Earmuffs; Heat/Cold Resistant Gloves,Air Quality Log,DOC-2619,56,98,3.13,Capt Howard,Night,1
REC-1020,2025-04-02,Maintenance Bay 1,Avionics Work,haz_pinch_points,Pinch Points,Mechanical & Equipment,Low,ppe_goggles,Goggles,JSA,DOC-2341,46,88,2.51,Lt Brooks,Night,1
REC-1021,2025-03-04,Flight Line,Routine Inspection,haz_insect_snake_animal,Insect/ Snake/ Animal,Biological,High,ppe_goggles,Goggles,Confined Space Permit,DOC-2565,48,110,2.0,Capt Howard,Swing,0
REC-1022,2025-08-23,Maintenance Bay 1,Welding Task,haz_high_noise,High Noise,Physical Environment,Moderate,ppe_chemical_resistant_gloves; ppe_ear_plugs,Chemical Resistant Gloves; Ear Plugs,HAZMAT Report,DOC-2999,52,107,0.47,Capt Howard,Swing,0
REC-1023,2026-02-01,Maintenance Bay 2,Fuel System Repair,haz_reaction_pressure_vacuum,Reaction/ Pressure/ Vacuum,Mechanical & Equipment,Moderate,ppe_ear_plugs; ppe_respirator,Ear Plugs; Respirator,Noise Survey,DOC-2358,69,84,3.42,MSgt Coleman,Swing,0
REC-1024,2025-08-25,Maintenance Bay 1,Sheet Metal Repair,haz_reaction_pressure_vacuum,Reaction/ Pressure/ Vacuum,Mechanical & Equipment,Low,ppe_heat_cold_resistant_gloves,Heat/Cold Resistant Gloves,JSA,DOC-2898,63,77,8.75,Capt Howard,Day,0
REC-1025,2025-12-23,Maintenance Bay 1,Fuel System Repair,haz_path_of_travel,Path of Travel,Physical Environment,High,ppe_hard_hat; ppe_papr; ppe_passive_guard_rails_restraint,"Hard Hat; PAPR; Passive (Guard Rails, Restraint)",JSA,DOC-2725,85,55,7.85,Civ Patel,Night,0
REC-1026,2025-09-20,Fuel Cell Shop,Chemical Cleaning,haz_hot_cold_surfaces,Hot/ Cold Surfaces,Physical Environment,High,ppe_goggles; ppe_hard_hat; ppe_active_harness_and_lanyard; ppe_ear_plugs,Goggles; Hard Hat; Active (Harness and Lanyard); Ear Plugs,Noise Survey,DOC-2713,67,71,2.96,Lt Brooks,Night,0
REC-1027,2025-11-05,Maintenance Bay 1,Sheet Metal Repair,haz_congestion_tight_spaces,Congestion/ Tight Spaces,Physical Environment,Severe,ppe_active_harness_and_lanyard; ppe_safety_glasses; ppe_steel_toe_shoes; ppe_passive_guard_rails_restraint,"Active (Harness and Lanyard); Safety Glasses; Steel Toe Shoes; Passive (Guard Rails, Restraint)",Noise Survey,DOC-2452,57,120,7.15,MSgt Coleman,Night,0
REC-1028,2025-10-28,Engine Shop,Welding Task,haz_other,Other,Other,Low,ppe_goggles; ppe_chemical_resistant_gloves; ppe_steel_toe_shoes,Goggles; Chemical Resistant Gloves; Steel Toe Shoes,JSA,DOC-2250,90,64,6.89,Civ Patel,Day,1
REC-1029,2025-07-18,Engine Shop,Welding Task,haz_fall_from_elevation,Fall From Elevation,"Slips, Trips, Falls & Work at Height",Severe,ppe_chemical_resistant_gloves; ppe_earmuffs; ppe_safety_glasses; ppe_ear_plugs,Chemical Resistant Gloves; Earmuffs; Safety Glasses; Ear Plugs,JSA,DOC-2570,61,70,6.9,Lt Brooks,Night,0
REC-1030,2025-07-05,Fuel Cell Shop,Fuel System Repair,haz_walking_space,Walking Space,Physical Environment,High,ppe_active_harness_and_lanyard; ppe_supplied_air; ppe_double_hearing_protection; ppe_fr_clothing,Active (Harness and Lanyard); Supplied Air; Double Hearing Protection; FR Clothing,Confined Space Permit,DOC-2496,110,85,4.19,TSgt Rivera,Night,0
REC-1031,2025-12-12,Flight Line,Fuel System Repair,haz_machine_guards,Machine Guards,Mechanical & Equipment,Severe,ppe_hard_hat; ppe_rescue_plan_required_for_active_restraints; ppe_goggles,Hard Hat; Rescue Plan (required for active restraints); Goggles,Hot Work Permit,DOC-2156,57,63,6.28,Capt Howard,Night,1
REC-1032,2025-07-20,Maintenance Bay 1,Routine Inspection,haz_overhead_work_falling_objects,Overhead Work/ Falling Objects,Physical Environment,Severe,ppe_cut_resistant_gloves,Cut Resistant Gloves,Noise Survey,DOC-2006,75,93,11.33,Lt Brooks,Night,0
REC-1033,2025-06-17,Hangar A,Chemical Cleaning,haz_fall_from_elevation,Fall From Elevation,"Slips, Trips, Falls & Work at Height",High,ppe_heat_cold_resistant_gloves; ppe_papr,Heat/Cold Resistant Gloves; PAPR,Hot Work Permit,DOC-2695,81,76,12.62,MSgt Coleman,Night,0
REC-1034,2025-03-28,Maintenance Bay 1,Welding Task,haz_inadequate_lighting,Inadequate Lighting,Physical Environment,Severe,ppe_goggles,Goggles,HAZMAT Report,DOC-2051,63,103,4.98,Lt Brooks,Swing,0
REC-1035,2025-06-25,Hangar A,Routine Inspection,haz_housekeeping,Housekeeping,Physical Environment,High,ppe_papr; ppe_heat_cold_resistant_gloves; ppe_goggles,PAPR; Heat/Cold Resistant Gloves; Goggles,HAZMAT Report,DOC-2665,38,60,11.34,MSgt Coleman,Day,0
